question_id,face_value,years_to_maturity,coupon_payment_schedule,coupon_rate,discount_rate,present_value,future_value,continuous_rate,pv_no_coupon,pv_with_coupon
Question 71,10000,19,1,0.0349,0.0530338755168651,3746.24,10000.0,0.051675,3746.239113961703,7861.6512499903
Question 72,100000,1,1,0.0672,0.0530338755168651,94963.71,100000.0,0.051675,94963.7066052757,101345.26768915023
Question 73,10000,13,1,0.0752,0.0530338755168651,5107.98,9999.99,0.051675,5107.984238366913,12044.674828852234
Question 74,1000,15,4,0.0375,0.0530338755168651,460.64,999.99,0.052685,460.64341122792246,839.9912250373916
Question 75,100000,15,2,0.071,0.0530338755168651,46064.34,100000.0,0.052343,46064.34112279225,118427.08802270483
Question 76,1000,24,2,0.0556,0.0530338755168651,289.32,999.99,0.052343,289.3235477282444,1034.6096447849511
Question 77,100,23,2,0.0846,0.0530338755168651,30.47,100.01,0.052343,30.466749674256192,141.6629463857791
Question 78,100,17,1,0.0715,0.0530338755168651,41.54,100.0,0.051675,41.54130913597679,120.35501746940713
Question 79,10000,8,4,0.0919,0.0530338755168651,6613.96,10000.01,0.052685,6613.955378856271,12520.484252348668
Question 80,100000,28,1,0.0208,0.0530338755168651,23529.59,99999.99,0.051675,23529.592840597965,53521.4509391023
Question 81,100000,6,4,0.0856,0.0530338755168651,73340.85,100000.0,0.052685,73340.85109000695,116642.47435797355
Question 82,100,12,1,0.0953,0.0530338755168651,53.79,100.0,0.051675,53.788804386065735,136.82868972515354
Question 83,100000,2,4,0.0616,0.0530338755168651,90181.06,100000.0,0.052685,90181.05572212885,101615.36639615479
Question 84,100,25,1,0.0104,0.0530338755168651,27.48,100.02,0.051675,27.475236500462486,41.69742058646864
Question 85,1000,6,2,0.013,0.0530338755168651,733.41,1000.0,0.052343,733.4085109000695,796.5442093471896
Question 86,100,10,1,0.0471,0.0530338755168651,59.65,100.01,0.051675,59.645347856431115,95.48478250905534
Question 87,10000,28,4,0.0512,0.0530338755168651,2352.96,10000.0,0.052685,2352.9592840597966,9733.30182739192
Question 88,100,27,1,0.053,0.0530338755168651,24.78,100.01,0.051675,24.77745833826876,99.95195141871373
Question 89,1000,23,4,0.0713,0.0530338755168651,304.67,1000.01,0.052685,304.6674967425619,1241.8984848382797
Question 90,100000,20,2,0.0779,0.0530338755168651,35575.68,100000.01,0.052343,35575.67520914672,130428.00101040278
Question 91,1000,8,1,0.0839,0.0530338755168651,661.4,1000.01,0.051675,661.395537885627,1197.0704078536282
Question 92,100000,8,1,0.0412,0.0530338755168651,66139.55,99999.99,0.051675,66139.55378856271,92444.44609211653
Question 93,1000,12,2,0.0653,0.0530338755168651,537.89,1000.0,0.052343,537.8880438606574,1107.8737129321403
Question 94,1000,6,2,0.0454,0.0530338755168651,733.41,1000.0,0.052343,733.4085109000695,961.2039514292193
Question 95,100000,4,2,0.0753,0.0530338755168651,81326.23,100000.0,0.052343,81326.22811157709,107931.17712766513
Question 96,10000,9,1,0.0607,0.0530338755168651,6280.86,10000.0,0.051675,6280.85718098092,10537.607548822085
Question 97,1000,16,1,0.0635,0.0530338755168651,437.44,999.99,0.051675,437.444057535018,1111.0192394046974
Question 98,1000,8,4,0.0449,0.0530338755168651,661.4,1000.01,0.052685,661.395537885627,947.2514807600134
Question 99,100,4,2,0.0671,0.0530338755168651,81.33,100.0,0.052343,81.3262281115771,105.01034317220451
Question 100,100,11,2,0.0881,0.0530338755168651,56.64,100.0,0.052343,56.64143314207735,128.94277273944107
